l,k,s,n,f,n,a,c,b,y,e,?,s,s,o,o,p,o,o,p,b,c,e
l,x,s,n,f,n,a,c,b,y,e,?,s,s,o,o,p,n,o,p,b,v,e
l,f,s,n,f,n,a,c,b,n,e,?,s,s,o,o,p,o,o,p,b,c,e
l,k,y,n,f,y,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,p
l,x,s,n,f,n,a,c,b,y,e,?,s,s,o,o,p,o,o,p,o,c,e





cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
